artiste,titre,popularite,score_danse,tempo,genre,duree
Yan Wagner,Fais comme si,33.0,0.75,125.005,6,201080.0ms
SK√ÅLD,R√∫n,54.0,0.555,170.115,8,160400.0ms
Carla Geneve,Greg's Discount Chemist,37.0,0.696,132.941,6,209661.0ms
Muse,Stockholm Syndrome,60.0,0.434,128.223,10,297000.0ms
Razorlight,America,67.0,0.447,90.933,6,249760.0ms
Egypt Central,Let Me Out,49.0,0.434,89.113,10,212900.0ms
Civil Twilight,Letters From The Sky,49.0,0.342,150.04,10,275040.0ms
Ten Years After,Hear Me Calling - Mono,21.0,0.413,128.54,2,348240.0ms
Bon Jovi,I'll Be There For You,68.0,0.437,73.029,10,5.77645min
Amir Ve Ben,◊™◊ú ◊ê◊ë◊ô◊ë ◊ñ◊î ◊ê◊†◊ô ◊ï◊ê◊™,50.0,0.847,104.993,9,221235.0ms
TEMPOREX,U Open Up a Window,41.0,0.604,143.579,6,191664.0ms
"Antônio Carlos Jobim, Sharon Isbin",Jobim: Road to the Sun,48.0,0.356,78.685,7,2.533333333min
The Orphan The Poet,The Moxie,45.0,0.673,135.082,10,163333.0ms
Linkin Park,Guilty All the Same (feat. Rakim),59.0,0.566,100.012,10,355120.0ms
Nitty Gritty Dirt Band,Fishin' in the Dark,60.0,0.771,77.756,4,3.379783333min
"The Kid LAROI, Polo G, Stunna Gambino",NOT SOBER (feat. Polo G & Stunna Gambino),83.0,0.671,119.82,9,3.6min
Andromida,Supernova,39.0,0.427,143.052,8,273566.0ms
Matthewdavid,La Tierra de la Culebra,37.0,0.208,82.92,6,124000.0ms
Le Shiv,When The Kids Grow Up,31.0,0.404,120.2,6,219998.0ms
Muddy Waters,Got My Mojo Working,49.0,0.519,113.487,2,173040.0ms
Yemi Alade,Boyz,46.0,0.8,100.0,9,214000.0ms
The Wrecks,I Want My Life Back Now,43.0,0.523,109.987,10,188707.0ms
Danielle Bradbery,Slow Burn - Yours Truly: 2018,44.0,0.425,73.69,0,3.49645min
T. Rex,Jeepster,49.0,0.394,193.552,10,247773.0ms
The Suitcase Junket,On Our Own,43.0,0.509,104.755,10,161320.0ms
TWIN XL,Slow Heart,49.0,0.583,140.09,9,190487.0ms
A Perfect Circle,The Doomed,54.0,0.367,106.329,10,281781.0ms
Lynyrd Skynyrd,I Know A Little,51.0,0.384,196.495,10,207973.0ms
Mazen,Dork,31.0,0.858,125.016,9,207915.0ms
Rostam,These Kids We Knew,46.0,0.675,148.0,1,148267.0ms
Diamanda Gal√°s,Do You Take This Man?,34.0,0.632,131.371,10,369400.0ms
Yuval Dayan,◊™◊†◊í◊ü,29.0,0.667,125.023,9,198693.0ms
Against The Current,weapon,64.0,0.402,180.075,10,197209.0ms
The Undertones,Teenage Kicks,61.0,0.415,135.029,6,148480.0ms
Defamed,Wounds,34.0,0.27,92.99,8,216913.0ms
REO Speedwagon,Take It On the Run,68.0,0.371,77.81,10,239680.0ms
grandson,War,54.0,0.369,160.156,10,211500.0ms
"Bruno Mars, Anderson .Paak, Silk Sonic",Skate,77.0,0.719,111.982,9,3.38538333min
Claud,Gold,6.0,0.74,81.616,6,97600.0ms
Kutiman,Sakla Beni,23.0,0.456,153.995,1,280603.0ms
Tyler Leads,Hellhounds,27.0,0.293,141.714,8,174378.0ms
Nulbarich,Be Alright feat. Mummy-D,32.0,0.673,179.987,9,220400.0ms
Flat Duo Jets,Frog Went a Courtin',32.0,0.189,186.337,2,138413.0ms
MARINA,Man's World,29.0,0.5,126.059,6,239830.0ms
Billie Marten,Human Replacement,28.0,0.533,175.927,1,185627.0ms
Starcastle,Lady of the Lake,26.0,0.359,148.092,10,626933.0ms
Doja Cat,Kiss Me More (feat. SZA),98.0,0.762,110.968,5,208867.0ms
Courtney Marie Andrews,It Must Be Someone Else‚Äôs Fault,45.0,0.563,94.574,1,198173.0ms
Lynch Mob,Wicked Sensation,46.0,0.559,98.159,8,281840.0ms
Eden Ben Zaken,◊™◊ê◊û◊ô◊ü ◊ú◊ô,29.0,0.492,145.978,9,267747.0ms
Joey Gilmore,Blues All Over You,11.0,0.723,122.477,2,221587.0ms
Mohammed Rafi,Khush Rahe Tu Sada,12.0,0.426,115.618,3,3.680216667min
Tropidelic,Sleepers (with RDGLDGRN),39.0,0.61,140.055,10,223027.0ms
Gorillaz,She's My Collar (feat. Kali Uchis),70.0,0.726,140.158,9,209560.0ms
Fox Stevenson,Dreamland,56.0,0.413,167.94,10,241159.0ms
New Found Glory,My Friends Over You,66.0,0.404,177.793,10,220200.0ms
Favourite People,Shell Island,41.0,0.522,170.97,6,203680.0ms
Wiley,Step 2001 - Instrumental,12.0,0.903,139.982,5,205714.0ms
La Rata Bluesera,Blues de la Transici√≥n,24.0,0.412,102.96,2,212815.0ms
The National Parks,Wind & Anchor,50.0,0.44,79.382,0,3.14155min
Suffer Like G Did,Beow,29.0,0.442,140.43,10,208893.0ms
Major Murphy,Attention,43.0,0.533,101.011,6,177326.0ms
The War and Treaty,Set My Soul on Fire,44.0,0.507,122.416,2,299680.0ms
John Mayer,Daughters,67.0,0.674,124.893,0,3.96511667min
Nascent,Bottom Dollar,26.0,0.654,148.149,9,184288.0ms
Marmozets,Captivate You,39.0,0.401,153.422,1,240667.0ms
Petter Bergander Trio,One Night At Fasching,52.0,0.514,114.744,7,4.304216667min
Metallica,The Day That Never Comes,63.0,0.334,126.883,8,476267.0ms
Î∞ïÌòúÏßÑ Park Hye Jin,CLOUDS,51.0,0.81,104.953,1,196008.0ms
All That Remains,Madness,44.0,0.465,85.947,10,204427.0ms
POLICE CAR COLLECTIVE,ALLTHETIME,41.0,0.2,42.956,6,425681.0ms
Gary Clark Jr.,Come Together,63.0,0.447,80.04,10,193714.0ms
Krokus,Screaming in the Night,53.0,0.475,96.378,10,397773.0ms
Slaves,One More Day Won‚Äôt Hurt,44.0,0.633,140.976,10,167000.0ms
Damien Burbank,Sarah Tonin,31.0,0.363,87.64,6,154511.0ms
Mc Rebecca,T√¥ Preocupada (Calma Amiga) (feat. Anitta),72.0,0.895,84.956,9,120000.0ms
The Surfaris,Wipe Out,45.0,0.461,160.073,6,166092.0ms
Lata Mangeshkar,Mere Khwabon Mein,51.0,0.621,114.802,3,4.274min
Whitesnake,Still Of The Night,3.0,0.357,100.157,8,397768.0ms
The Peterson Brothers,Lose a Good Thing,35.0,0.641,94.007,2,329511.0ms
Fleetwood Mac,Go Your Own Way - 2004 Remaster,76.0,0.583,135.448,10,223613.0ms
Powderfinger,Waiting For The Sun,46.0,0.201,109.135,10,234400.0ms
Trivium,In Waves,60.0,0.477,76.517,8,302467.0ms
Bebe Rexha,Sacrifice,80.0,0.659,119.992,9,160871.0ms
Ed Sheeran,Shape of You,86.0,0.825,95.977,9,233713.0ms
Grizzly Bear,Two Weeks,69.0,0.537,159.871,6,243160.0ms
Marcia Ball,The Party's Still Going On,21.0,0.592,159.713,2,205280.0ms
Fenyan,Break Your Rules,29.0,0.697,121.996,1,259408.0ms
Jerry Reed,Amos Moses,45.0,0.75,105.636,4,2.329333333min
MOD SUN,Amnesia,58.0,0.457,155.022,9,171033.0ms
The Killers,The World We Live In,51.0,0.597,105.996,10,278493.0ms
Bombay Bicycle Club,Shuffle,61.0,0.627,109.981,6,235293.0ms
James TW,Butterflies - Acoustic,46.0,0.674,99.701,9,200547.0ms
Aviv Geffen,◊ë◊ï◊ß◊® ◊ò◊ï◊ë ◊ê◊ô◊®◊ê◊ü,17.0,0.278,164.968,10,182293.0ms
SawanoHiroyuki[nZk]:mizuki,Avid,57.0,0.468,155.929,10,250293.0ms
Jean Charnaux,Entrelaços,24.0,0.425,83.518,7,2.658333333min
Tame Impala,The Less I Know The Better,84.0,0.64,116.879,9,216320.0ms
Metallica,All Nightmare Long,59.0,0.268,182.095,8,477027.0ms
Sea Girls,Forever,37.0,0.592,124.029,10,240640.0ms
Blonde Redhead,Misery Is a Butterfly,42.0,0.548,144.242,6,307667.0ms
Total Control,Flesh War,39.0,0.579,132.652,6,280853.0ms
"Midival Punditz, Kutle Khan",Nukhta,15.0,0.501,175.998,0,4.315666667min
Godsmack,Bulletproof,59.0,0.362,162.226,10,177048.0ms
Idan Yaniv,◊õ◊û◊î ◊ú◊ô◊ú◊ï◊™,39.0,0.676,134.077,9,186269.0ms
Archetypes Collide,Your Misery,46.0,0.447,140.055,10,202286.0ms
Far Away the Hills Are Green,"Joshua Burnside, Laura Quirke",40.0,0.467,134.647,0,4.012233333min
Coldplay,Talk,63.0,0.415,120.318,10,311292.0ms
Megan Thee Stallion,Circles,66.0,0.842,111.113,5,170641.0ms
Ravi Chary,Funk Jog,6.0,0.582,140.075,0,4.78min
Chapterhouse,Mesmerise,42.0,0.477,88.043,6,252200.0ms
Praying Mantis,Children of the Earth,47.0,0.208,170.626,8,337880.0ms
Lehakat Tzliley Haud,◊û◊ó◊®◊ï◊ñ◊™: ◊ó◊†◊î'◊ú◊î ◊î◊™◊ë◊ú◊ë◊ú◊î,24.0,0.379,135.069,9,343800.0ms
Jerry Garcia,House Of The Rising Sun,23.0,0.521,138.78,10,485227.0ms
Dudu Faruk,◊û◊°◊™◊§◊® ◊õ◊õ◊î,22.0,0.832,130.062,5,136615.0ms
Dave Matthews Band,Ants Marching,48.0,0.637,113.32,9,271187.0ms
Las Penas,Enrejado,46.0,0.469,98.962,7,3.6279min
Zubi,sugar,66.0,0.774,95.598,9,205000.0ms
LaSalle Street Trio,Deep In A Dream,56.0,0.476,113.985,7,4.702066667min
YSI,Shake well before use,44.0,0.602,158.433,6,340197.0ms
Saweetie,"Best Friend (feat. Doja Cat, Jamie & CHANMINA) [Remix]",63.0,0.842,93.996,9,206000.0ms
Valley,Kevin Morby,48.0,0.59,79.563,0,4.076216667min
Ofdrykkja,Herr Mannelig,43.0,0.614,119.48,8,419067.0ms
Softcult,Gloomy Girl,36.0,0.427,150.077,6,186411.0ms
This Will Destroy You,Quiet,45.0,0.482,115.011,10,293173.0ms
Snail Mail,Pristine,57.0,0.483,126.241,6,295333.0ms
Thirty Seconds To Mars,Hurricane,54.0,0.533,124.97,10,372133.0ms
Trivium,Drowning in the Sound,50.0,0.478,100.05,8,223200.0ms
Lucy Dacus,Thumbs,52.0,0.474,97.595,6,265440.0ms
Metronomy,The Bay - Mr. Mitch Remix,51.0,0.854,129.963,1,299837.0ms
Sea Girls,Ready For More,45.0,0.481,97.515,6,207373.0ms
Bruce Hornsby,The Way It Is,70.0,0.582,111.166,10,297853.0ms
Duran Duran,Five Years,36.0,0.544,154.718,10,285246.0ms
Ariana Grande,successful,68.0,0.847,114.045,9,227387.0ms
Popp Hunna,Adderall (Corvette Corvette) - Remix,70.0,0.921,141.06,5,176383.0ms
Sizzy Rocket,That Bitch,47.0,0.593,86.085,1,152900.0ms
Why Don't We,Fallin‚Äô (Adrenaline),74.0,0.606,133.963,9,216504.0ms
Kaiser Chiefs,Everyday I Love You Less and Less,51.0,0.481,160.015,10,217707.0ms
Maximo Park,Apply Some Pressure,57.0,0.378,167.808,10,200347.0ms
Dolly Parton,Here You Come Again,65.0,0.585,105.898,4,2.991516667min
WALK THE MOON,Work This Body,59.0,0.421,134.184,10,175907.0ms
Bring Me The Horizon,Can You Feel My Heart,77.0,0.15,170.527,8,228147.0ms
Coldplay,Trouble,72.0,0.565,139.757,10,273427.0ms
IDLES,Grounds,50.0,0.562,100.757,6,188716.0ms
Slomosa,There is Nothing New Under the Sun,34.0,0.46,152.059,10,237424.0ms
Kanye West,Nah Nah Nah (feat. DaBaby & 2 Chainz) - Remix,69.0,0.733,150.024,5,191353.0ms
Aya Korem,◊ó◊ï◊®◊£,30.0,0.378,87.261,9,188292.0ms
Pepe Pecas,Lo Que Vales (Para M√≠),40.0,0.255,171.682,6,211023.0ms
TORRES,Three Futures,38.0,0.535,121.148,6,244641.0ms
U2,So Cruel,48.0,0.598,92.086,10,349213.0ms
Ravid Plotnik,◊û◊ì◊ô◊†◊™ ◊û◊©◊ò◊®◊î,35.0,0.724,130.021,5,241080.0ms
Rajna Swaminathan,Peregrination (feat. Anjna Swaminathan),14.0,0.39,89.534,6,249064.0ms
Def Leppard,Too Late For Love,53.0,0.536,94.677,8,266729.0ms
Thirty Seconds To Mars,The Kill (Bury Me),63.0,0.179,182.99,10,231533.0ms
James,Laid,66.0,0.457,115.998,1,156667.0ms
Dave Matthews Band,Crash into Me,57.0,0.541,101.1,10,316467.0ms
Kevin Gates,Plug Daughter 2,65.0,0.763,127.998,5,226875.0ms
Grateful Dead,Dire Wolf - 2013 Remaster,50.0,0.615,76.711,10,194491.0ms
Japandroids,Near To The Wild Heart Of Life,41.0,0.232,181.958,6,297120.0ms
18 Carat Affair,Memphis Design,22.0,0.361,130.107,6,56000.0ms
√ìlafur Arnalds,Loom (feat. Bonobo),61.0,0.545,156.694,6,226867.0ms
Loverground,Be Patient,52.0,0.688,114.036,1,216794.0ms
Elder Island,Feral - letherette Remix,46.0,0.46,92.714,1,239556.0ms
Carla Geneve,Greg's Discount Chemist,37.0,0.696,132.941,1,209661.0ms
Kishore Kumar,Ham The Woh Thi,10.0,0.797,114.768,3,3.7316min
blink-182,All The Small Things,80.0,0.434,148.726,10,167067.0ms
Doja Cat,Need To Know,86.0,0.664,130.041,9,3.509333333min
Velvet Revolver,Slither,66.0,0.478,141.077,10,248307.0ms
Lil Nas X,SUN GOES DOWN,42.0,0.551,174.065,9,168276.0ms
Henry Park,Wasted Time,11.0,0.499,66.116,6,240000.0ms
Kayzo,Breakdown,49.0,0.447,179.968,1,249333.0ms
War,Slippin' Into Darkness,53.0,0.676,90.999,5,227373.0ms
TheHxliday,MiSSed Calls,45.0,0.704,137.036,5,247080.0ms
Good Woman,The Staves,53.0,0.628,99.991,0,3.294min
Lata Mangeshkar,Neela Aasman So Gaya - Lata Mangeshkar,25.0,0.265,93.079,3,5.473333333min
Def Leppard,When Love And Hate Collide,57.0,0.477,67.965,10,256867.0ms
Shlomo Artzi,◊ó◊ï◊ñ◊®◊ô◊ù ◊î◊ë◊ô◊™◊î,41.0,0.601,78.124,10,218147.0ms
Mayhem,Funeral Fog,44.0,0.114,153.904,8,347253.0ms
Baseball Gregg,Let Me Help You,23.0,0.786,124.984,6,181235.0ms
Marillion,Forgotten Sons - 1997 Remaster,36.0,0.352,142.976,10,503307.0ms
Fredo Bang,Oppanese,57.0,0.78,159.984,5,148500.0ms
Hein Talbot,Suji,43.0,0.222,80.005,7,2.228783333min
Khruangbin,Time (You and I),65.0,0.751,105.407,6,342189.0ms
Tim McGraw,My Next Thirty Years,54.0,0.605,98.866,4,3.628883333min
Eli Luzon,◊ô◊ú◊ì◊î,22.0,0.604,156.618,9,305973.0ms
Rainbow,Stone Cold,50.0,0.419,112.638,10,317307.0ms
Leif Vollebekk,Long Blue Light,63.0,0.552,71.548,1,200173.0ms
Miles Kane,Come Closer,57.0,0.511,164.614,6,179240.0ms
Ratt,Givin' Yourself Away,51.0,0.594,101.582,10,326000.0ms
Jimmy Cliff,"Wonderful World, Beautiful People - Single Version",58.0,0.767,105.571,10,194867.0ms
Django Django,Hail Bop,42.0,0.615,123.739,6,243693.0ms
The Goon Sax,In the Stone,35.0,0.649,111.941,6,247051.0ms
Don Henley,The End Of The Innocence,56.0,0.62,116.552,10,316360.0ms
Magic Bronson,Nervous,41.0,0.573,96.439,6,173152.0ms
The Futureheads,The Beginning Of The Twist,43.0,0.42,155.993,1,216040.0ms
Shlomo Artzi,◊î◊ê◊ù ◊¢◊ï◊ì◊ö ◊ô◊§◊î,20.0,0.579,103.98,10,129907.0ms
courtship.,Prom,50.0,0.665,119.947,6,249078.0ms
Frankie Ballard,Sunshine & Whiskey,67.0,0.67,92.983,4,3.04min
Yehuda Poliker,◊î◊ê◊ï◊® ◊ë◊ß◊¶◊î,35.0,0.626,110.971,10,248300.0ms
Arik Einstein,◊©◊ô◊® ◊î◊©◊ô◊ô◊®◊î,31.0,0.652,116.592,10,252000.0ms
Downtown Boys,A Wall,27.0,0.262,166.418,6,242647.0ms
Franz Ferdinand,Take Me Out,78.0,0.277,104.561,6,237027.0ms
Paul McCartney,Every Night - Remastered 2011,49.0,0.605,94.285,10,153413.0ms
Eve,Satisfaction,48.0,0.843,93.383,5,258733.0ms
Liily,Toro,47.0,0.432,177.922,6,219342.0ms
Shea Diamond,Keisha Complexion,10.0,0.634,176.048,2,198991.0ms
Darlingside,Paradise Bay,26.0,0.29,86.889,1,149328.0ms
Marina Maximilian,Silence,21.0,0.56,124.057,9,213917.0ms
George Strait,Baby's Gotten Good At Goodbye,45.0,0.468,183.898,4,3.513333333min
Estrons,Drop,28.0,0.385,185.047,10,203502.0ms
Doobie Bronson,The Brook & The Bluff,47.0,0.551,122.065,0,3.392466667min
Dudu Aharon,◊ë◊ô◊ô◊ë◊ô,18.0,0.743,95.984,9,211321.0ms
"Kishore Kumar, Amitabh Bachchan",My Name Is Anthony Gonsalves - From 'Amar Akbar Anthony' / Soundtrack Version,31.0,0.626,92.754,3,5.535783333min
DPR IAN,No Blueberries,62.0,0.721,148.045,5,185107.0ms
Spoon,The Underdog,50.0,0.693,145.157,6,222107.0ms
Merle Haggard,Big City,56.0,0.707,136.188,4,2.988883333min
Gorillaz,Stylo (feat. Mos Def and Bobby Womack),64.0,0.686,100.222,1,270520.0ms
pizzagirl,bullet train,48.0,0.527,109.993,6,270326.0ms
Holy Fawn,Dark Stone,43.0,0.304,105.929,10,382167.0ms
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",78.0,0.262,189.857,9,252534.0ms
Rhys Lewis,No Right To Love You - Acoustic,1.0,0.531,84.186,0,3.82595min
PENPALS,The Stars My Destination,46.0,0.503,79.497,5,180290.0ms
JUVENILE,Back That Azz Up,68.0,0.874,95.826,5,265600.0ms
YUKIKA,Insomnia - JP Ver.,32.0,0.738,104.95,9,207125.0ms
LEN,Steal My Sunshine - Single Version,57.0,0.405,192.147,9,211467.0ms
Kishore Kumar,Zindagi Ki Yahi Reet Hai,42.0,0.349,93.584,3,5.22355min
David Bowie,Loving The Alien - 2018 Remaster,42.0,0.604,118.24,10,7.21133333min
Suicide,Dream Baby Dream,51.0,0.688,144.122,6,384907.0ms
Hadag Nahash,◊û◊¢◊®◊ë◊ï◊ú◊™ ◊©◊ú ◊ó◊ï◊ú,22.0,0.818,107.012,5,277933.0ms
Depths of Hatred,Illusive Obsession,25.0,0.337,114.985,8,287364.0ms
Brittany Howard,Stay High,54.0,0.598,121.988,2,191396.0ms
"Asha Bhosle, Mahendra Kapoor",Dheere Dheere Bol Koi Sun Lega,2.0,0.455,94.544,3,5.633333333min
Lawrence Rothman,Kate's Not Here - Day Wave & Lawrence Rothman Remix,52.0,0.482,147.994,6,187364.0ms
Dead Meadow,What Needs Must Be,45.0,0.274,77.336,10,256960.0ms
Yuni Wa,Holding On,31.0,0.517,172.032,6,245596.0ms
Le Tigre,Deceptacon,74.0,0.603,160.488,9,184627.0ms
Yael Levi,◊ë◊ú◊ì◊î ◊ú◊†◊ê◊ô◊ë◊ô◊™,30.0,0.588,123.012,10,216733.0ms
Jade Bird,Headstart,60.0,0.536,103.134,6,142819.0ms
Bush,The Kingdom,49.0,0.366,174.118,10,227207.0ms
Kansas,Dust in the Wind,77.0,0.475,93.503,10,206267.0ms
Fred again..,Angie (I‚Äôve Been Lost),59.0,0.72,131.97,6,285093.0ms
Truffel the Phunky Phaqir,Bionic Muscle,43.0,0.897,91.022,5,180000.0ms
The Black Keys,Howlin' for You,67.0,0.725,132.921,1,191956.0ms
Big Spring,Keep The Lights On Me,38.0,0.445,81.37,10,227262.0ms
Audioslave,Getaway Car,50.0,0.574,62.261,10,298893.0ms
Suicide,Dream Baby Dream,51.0,0.688,144.122,1,384907.0ms
Powerwolf,Resurrection by Erection - Rerecorded Version,43.0,0.208,160.001,8,242807.0ms
Coma Cinema,Her Sinking Sun,43.0,0.466,90.091,6,153234.0ms
"John McLaughlin, Shankar Mahadevan, Zakir Hussain",Sakhi,25.0,0.468,99.934,0,8.44555min
ALO,Barbeque,27.0,0.683,123.446,10,241667.0ms
The Police,Invisible Sun,51.0,0.573,120.308,10,224200.0ms
Emil Landman,Falling,45.0,0.534,88.007,9,202484.0ms
Sara Evans,A Little Bit Stronger,62.0,0.536,147.93,4,5.033116667min
Backstreet Boys,If You Want to Be a Good Girl (Get Yourself a Bad Boy),35.0,0.758,113.918,9,4.832216667min
Bon Jovi,Do What You Can - Single Edit,52.0,0.332,172.107,10,231400.0ms
Kadinja,The Modern Rage,31.0,0.515,129.965,8,246720.0ms
Sumo Cyco,Bad News,33.0,0.603,156.001,8,234770.0ms
Eloise,Who's She,15.0,0.49,116.567,9,199400.0ms
Primal Fear,Vote of No Confidence,46.0,0.439,153.99,8,365987.0ms
Britney Spears,Work Bitch,73.0,0.629,128.01,9,247960.0ms
Maggie Lindemann,Knife Under My Pillow,59.0,0.562,149.971,9,122999.0ms
Thelonious Monk Septet,Well You Needn't,31.0,0.472,93.099,2,682173.0ms
Dire Straits,Why Worry?,49.0,0.596,93.652,10,504827.0ms
Mondo Cozmo,Come On,39.0,0.225,171.83,1,209529.0ms
Earth Trax,Ambient Dance - Radio Mix,38.0,0.684,120.033,6,231821.0ms
John Harvie,Bleach (On the Rocks),63.0,0.616,85.029,10,174309.0ms
Ten Thousand Crows,The Lovers,40.0,0.355,117.585,8,202360.0ms
The Clash,Rudie Can't Fail - Remastered,50.0,0.636,96.989,10,208867.0ms
The Easybeats,Friday On My Mind,57.0,0.374,95.105,10,2.72155min
Activity,White Phosphorus,18.0,0.541,137.095,10,303666.0ms
Olivia Meyer,Landsort,41.0,0.385,101.688,7,2.328166667min
Kate Nash,Foundations,61.0,0.502,84.461,6,245173.0ms
John Hanks,Grenada Plaza,47.0,0.649,50.767,7,2.818866667min
Tame Impala,Lost In Yesterday,71.0,0.569,183.059,6,249587.0ms
Full House Brew Crew,Unforgiving Land,28.0,0.499,159.988,8,216707.0ms
bloodsimple,Dead Man Walking,50.0,0.541,107.779,8,237693.0ms
Tamikrest,Aratane N' Adagh,18.0,0.48,144.069,2,312333.0ms
David Bowie,The Jean Genie - 2013 Remaster,60.0,0.58,128.15,1,248013.0ms
Mandevilla,Sno Peas,49.0,0.413,61.237,7,2.880383333min
Carbine,Desensitised,29.0,0.179,168.78,8,201333.0ms
Young Stoner Life,Litty (feat. DaBaby),69.0,0.894,139.977,5,216053.0ms
daydream Masi,Night Like This,46.0,0.656,149.909,6,183218.0ms
John Prine,That's the Way the World Goes Round,55.0,0.636,155.547,0,3.33733333min
Mimi Webb,Dumb Love,80.0,0.569,76.96,9,3.45113333min
Adri√°n Otero,Me Gusta Ese Tajo,22.0,0.777,108.073,2,168386.0ms
Arik Einstein,◊ê◊†◊ô ◊ï◊ê◊™◊î - ◊ë◊ì◊©◊ê ◊ê◊¶◊ú ◊ê◊ë◊ô◊í◊ì◊ï◊®-◊®◊ô◊û◊ê◊°◊ò◊®◊ô◊†◊í,32.0,0.572,133.701,10,214571.0ms
Waylon Jennings,"Luckenbach, Texas (Back to the Basics of Love)",56.0,0.684,102.902,4,3.34155min
Shlomo Artzi,◊ú◊ê ◊î◊§◊°◊ß◊™◊ô ◊ú◊ó◊§◊© ◊ê◊ï◊™◊ö,41.0,0.597,136.81,10,238421.0ms
"Suresh Wadkar, Bela",Pardesi Pardesi - Sad Version,34.0,0.408,73.831,3,2.670666667min
Lil Poppa,A.M. Flights (feat. Toosii),51.0,0.482,172.231,5,123123.0ms
Jeff Beck,I Ain't Superstitious,30.0,0.421,167.873,2,293027.0ms
ILIRA,Dynamite,74.0,0.761,108.13,9,125879.0ms
Billie Eilish,Therefore I Am,88.0,0.889,94.009,10,174321.0ms
Eric Carmen,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",75.0,0.712,109.882,10,251067.0ms
Sepultura,Refuse / Resist,56.0,0.475,118.033,8,199227.0ms
The Devil Wears Prada,Nightfall,55.0,0.261,159.838,8,268200.0ms
Dikla,◊©◊ë◊ï◊¢◊ô◊ô◊ù,38.0,0.598,187.934,9,198300.0ms
Billy Boy Arnold,I Wish You Would,25.0,0.654,95.116,2,219560.0ms
Fly Right,Oliver Hazard,31.0,0.686,132.961,0,3.38845min
Haricharan,Jagadananda Karaka,15.0,0.597,152.049,0,11.61245min
NOROZ,◊ê◊ô◊ü ◊û◊¶◊ë,23.0,0.8,150.079,5,133046.0ms
Ehud Banai,◊î◊í◊ô◊ò◊®◊î,17.0,0.389,129.726,10,263720.0ms
The Adverts,Gary Gilmore's Eyes,39.0,0.421,157.927,1,136960.0ms
Cedric Burnside,We Made It,45.0,0.725,107.205,2,214613.0ms
Kula Shaker,Hush,53.0,0.484,117.792,10,174787.0ms
Qrion,Monolith,43.0,0.731,120.0,1,322058.0ms
Proxy,Raven,11.0,0.345,127.992,1,354129.0ms
"Amitabh Bachchan, Pran",Sir Main Vijay Bol Raha Hun - Dialogues,2.0,0.396,73.548,3,29.45min
Lloyd Cole and the Commotions,Rattlesnakes,49.0,0.457,151.747,1,207427.0ms
Sam Flax,Fire Doesn't Burn Itself,35.0,0.547,112.919,9,327489.0ms
SEB,seaside_demo,62.0,0.706,94.98,9,132000.0ms
Scorpions,Blackout - 2015 Remaster,42.0,0.186,179.557,8,230840.0ms
"Kishore Kumar, Alisha Chinai",Kate Nahin Kat Te,39.0,0.569,131.082,3,6.628216667min
Erick the Architect,I Can't Lose,56.0,0.678,115.062,5,197500.0ms
Nasta Super,Que Curioso,17.0,0.701,99.131,2,314840.0ms
The Beths,Jump Rope Gazers,39.0,0.56,99.979,1,312182.0ms
Sonic Youth,I Love You Mary Jane,45.0,0.643,79.402,10,229267.0ms
Old Dominion,I Was On a Boat That Day,72.0,0.535,140.13,4,2.976883333min
Peled,◊§◊ú◊ê◊ò◊ï,22.0,0.797,120.041,5,285179.0ms
Dudu Aharon,◊ê◊ú ◊™◊°◊í◊®◊ô ◊ú◊ô ◊™◊≥◊ì◊ú◊™,19.0,0.532,99.739,9,274880.0ms
The Killers,Somebody Told Me,74.0,0.497,138.081,10,197200.0ms
Big Audio Dynamite,E=MC2,50.0,0.721,129.975,6,354627.0ms
Cradle Of Filth,Cruelty Brought Thee Orchids,39.0,0.262,132.606,8,438733.0ms
"Johnny ""Guitar"" Watson",Cuttin' In,29.0,0.537,85.307,2,195133.0ms
D√òDSENGEL,AZONEI WYRDWALKER,25.0,0.138,140.345,8,478302.0ms
Flying Lotus,Black Gold,62.0,0.401,86.063,1,95973.0ms
Boy 8-Bit,Suspense Is Killing Me,19.0,0.962,127.003,6,293883.0ms
Mazzy Star,Fade Into You,73.0,0.42,157.143,6,295600.0ms
The Clash,Rock the Casbah - Remastered,71.0,0.797,129.885,10,3.70711667min
Cheap Trick,California Man,36.0,0.527,155.838,2,224800.0ms
Eden Ben Zaken,◊ó◊¶◊ô ◊û◊ì◊ô◊†◊î,36.0,0.585,150.093,9,177337.0ms
Cracker,Low,58.0,0.329,173.974,10,276132.0ms
Alan Jackson,Chattahoochee,72.0,0.606,174.533,4,2.469333333min
Billy Joel,"Lullabye (Goodnight, My Angel)",57.0,0.442,76.48,10,214400.0ms
Britney Spears,Overprotected - The Darkchild Remix - Remastered,39.0,0.433,191.803,9,3.334216667min
Junkyard Drive,Let It Burn,36.0,0.367,167.849,10,220000.0ms
Jake Wesley Rogers,Middle of Love,47.0,0.563,134.896,1,200902.0ms
Hannah Wicklund,Bomb Through the Breeze,44.0,0.401,82.133,2,164645.0ms
Middle Kids,Stacking Chairs,39.0,0.549,109.975,6,188347.0ms
Hatikva 6,◊ú◊ó◊ñ◊ï◊® ◊î◊ë◊ô◊™◊î,43.0,0.521,156.003,9,231526.0ms
